scenario,role,stage,time_grain,period,series,horizon_state,status,decision_facing,expected_unit,actual_unit,reason,source,dependants,inventory
current_basecase,basecase,S3,june_year,FY2029,total_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,gross_fed_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,gross_ped_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,heavy_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,heavy_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,light_bev_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,light_bev_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,light_petrol_vkt,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,light_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,light_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,net_fed_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,net_mvr_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,ped_vkt_per_capita,within_annual_cutoff,required_and_available,True,km_per_person,km_per_person,,S3 chart rows,,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,ped_volume,within_annual_cutoff,required_and_available,True,million_litres,million_litres,,S3 chart rows,,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,phev_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,phev_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,total_fed_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,total_nltf_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_basecase,basecase,S3,june_year,FY2030,total_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,gross_fed_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,gross_ped_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,heavy_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,heavy_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,light_bev_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,light_bev_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,light_petrol_vkt,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,light_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,light_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,net_fed_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,net_mvr_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,ped_vkt_per_capita,within_annual_cutoff,required_and_available,True,km_per_person,km_per_person,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,ped_volume,within_annual_cutoff,required_and_available,True,million_litres,million_litres,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,phev_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,phev_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,total_fed_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,total_nltf_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2026,total_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,gross_fed_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,gross_ped_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,heavy_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,heavy_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,light_bev_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,light_bev_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,light_petrol_vkt,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,light_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,light_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,net_fed_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,net_mvr_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,ped_vkt_per_capita,within_annual_cutoff,required_and_available,True,km_per_person,km_per_person,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,ped_volume,within_annual_cutoff,required_and_available,True,million_litres,million_litres,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,phev_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,phev_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,total_fed_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,total_nltf_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2027,total_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,gross_fed_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,gross_ped_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,heavy_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,heavy_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,light_bev_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,light_bev_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,light_petrol_vkt,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,light_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,light_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,net_fed_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,net_mvr_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,ped_vkt_per_capita,within_annual_cutoff,required_and_available,True,km_per_person,km_per_person,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,ped_volume,within_annual_cutoff,required_and_available,True,million_litres,million_litres,,S3 chart rows,,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,phev_ruc_net_km,within_annual_cutoff,required_and_available,True,million_km,million_km,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,phev_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,total_fed_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,total_nltf_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2028,total_ruc_net_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,light_ruc_dependent_totals,chart_row_series
current_comparison_1,comparison,S3,june_year,FY2029,gross_fed_revenue,within_annual_cutoff,required_and_available,True,million_nzd,million_nzd,,S3 chart rows,,chart_row_series
